LSOA21CD,local_d_index_age,local_q_G1_age,local_q_G2_age,local_q_G3_age
E01000001,3.01E-05,8.37E-05,6.50E-05,5.13E-05
E01000002,3.38E-05,8.63E-05,6.60E-05,3.59E-05
E01000003,3.90E-05,1.04E-04,8.39E-05,3.64E-05
E01000005,4.06E-05,7.55E-05,4.33E-05,8.16E-06
E01000006,1.58E-05,8.20E-05,9.91E-05,1.78E-05
E01000007,3.31E-05,1.91E-04,1.29E-04,7.37E-06
E01000008,1.70E-05,7.32E-05,8.95E-05,6.41E-06
E01000009,1.83E-05,9.61E-05,8.87E-05,1.77E-05
E01000011,1.60E-05,8.43E-05,8.40E-05,1.45E-05
E01000012,2.17E-05,1.18E-04,1.00E-04,9.94E-06
E01000013,1.42E-05,6.78E-05,1.05E-04,2.47E-05
E01000014,1.46E-05,6.29E-05,1.00E-04,2.32E-05
E01000015,1.53E-05,8.74E-05,1.31E-04,2.45E-05
E01000016,1.43E-05,6.38E-05,1.06E-04,2.36E-05
E01000017,1.49E-05,5.55E-05,1.04E-04,2.40E-05
E01000018,1.34E-05,6.02E-05,1.09E-04,2.08E-05
E01000019,9.64E-06,5.80E-05,8.94E-05,1.82E-05
E01000020,1.60E-05,6.57E-05,1.24E-04,3.13E-05
E01000021,9.39E-06,6.58E-05,8.63E-05,1.95E-05
E01000022,1.05E-05,4.95E-05,8.48E-05,1.92E-05
E01000024,1.09E-05,5.40E-05,8.19E-05,1.72E-05
E01000025,1.36E-05,6.69E-05,1.11E-04,2.69E-05
E01000027,1.01E-05,6.94E-05,9.80E-05,3.33E-05
E01000028,9.60E-06,6.06E-05,8.84E-05,3.48E-05
E01000029,9.60E-06,5.39E-05,8.87E-05,6.48E-05
E01000030,1.16E-05,9.11E-05,1.16E-04,3.09E-05
E01000031,9.95E-06,5.82E-05,8.90E-05,4.59E-05
E01000032,7.36E-06,7.79E-05,1.06E-04,4.09E-05
E01000033,7.89E-06,5.05E-05,8.08E-05,2.69E-05
E01000034,1.06E-05,4.85E-05,8.35E-05,4.94E-05
E01000035,1.07E-05,6.31E-05,9.99E-05,3.91E-05
E01000036,7.08E-06,5.10E-05,7.97E-05,2.77E-05
E01000037,6.37E-06,6.20E-05,9.11E-05,4.48E-05
E01000038,2.59E-06,5.61E-05,8.25E-05,4.33E-05
E01000039,1.75E-05,5.66E-05,8.91E-05,4.81E-05
E01000040,1.14E-05,7.05E-05,9.64E-05,2.25E-05
E01000041,1.43E-05,6.39E-05,1.06E-04,2.33E-05
E01000042,1.16E-05,6.90E-05,1.01E-04,1.64E-05
E01000043,1.06E-05,5.69E-05,8.34E-05,2.09E-05
E01000044,1.70E-05,8.14E-05,1.14E-04,1.38E-05
E01000045,1.29E-05,6.53E-05,9.40E-05,1.97E-05
E01000046,1.56E-05,6.89E-05,1.11E-04,2.21E-05
E01000049,1.80E-05,6.99E-05,9.92E-05,8.00E-06
E01000050,1.97E-05,9.04E-05,9.00E-05,1.56E-05
E01000051,1.30E-05,8.28E-05,3.92E-05,2.27E-06
E01000052,2.03E-05,1.04E-04,1.21E-04,2.22E-05
E01000053,1.07E-05,5.41E-05,8.87E-05,3.05E-05
E01000054,1.38E-05,6.25E-05,9.92E-05,3.02E-05
E01000055,1.32E-05,5.45E-05,9.75E-05,2.34E-05
E01000056,1.16E-05,5.56E-05,9.49E-05,2.88E-05
E01000057,1.24E-05,5.30E-05,8.59E-05,2.20E-05
E01000058,1.59E-05,7.09E-05,1.25E-04,2.25E-05
E01000059,1.20E-05,5.56E-05,9.30E-05,3.49E-05
E01000060,1.19E-05,6.83E-05,1.15E-04,3.17E-05
E01000061,7.74E-06,8.30E-05,8.69E-05,1.70E-05
E01000062,1.69E-05,7.32E-05,1.21E-04,3.66E-05
E01000063,1.49E-05,5.97E-05,1.06E-04,2.35E-05
E01000064,1.52E-05,7.50E-05,1.29E-04,3.73E-05
E01000065,1.86E-05,5.97E-05,1.22E-04,3.65E-05
E01000066,1.12E-05,7.57E-05,1.24E-04,3.72E-05
E01000067,8.93E-06,7.78E-05,0.000114881,3.41E-05
E01000068,1.32E-05,8.52E-05,9.11E-05,2.35E-05
E01000069,9.37E-06,9.05E-05,1.06E-04,2.75E-05
E01000070,9.59E-06,7.77E-05,1.11E-04,3.45E-05
E01000071,1.26E-05,1.00E-04,1.38E-04,3.39E-05
E01000072,1.33E-05,7.73E-05,1.14E-04,2.42E-05
E01000073,1.19E-05,6.91E-05,9.97E-05,2.61E-05
E01000074,1.32E-05,5.99E-05,9.52E-05,2.15E-05
E01000075,1.75E-05,6.95E-05,1.15E-04,3.16E-05
E01000076,1.71E-05,7.14E-05,1.30E-04,2.58E-05
E01000077,1.48E-05,5.17E-05,1.09E-04,2.06E-05
E01000078,1.71E-05,6.51E-05,1.08E-04,1.99E-05
E01000079,1.53E-05,5.76E-05,9.53E-05,2.68E-05
E01000080,1.64E-05,5.92E-05,1.13E-04,1.70E-05
E01000081,1.90E-05,6.95E-05,1.20E-04,2.43E-05
E01000082,1.78E-05,5.88E-05,1.24E-04,2.37E-05
E01000083,1.63E-05,6.32E-05,1.09E-04,2.26E-05
E01000084,1.04E-05,4.70E-05,8.60E-05,2.15E-05
E01000085,1.06E-05,5.76E-05,8.42E-05,2.59E-05
E01000086,9.68E-06,4.67E-05,8.15E-05,2.35E-05
E01000087,1.08E-05,5.49E-05,9.08E-05,2.13E-05
E01000088,1.25E-05,5.86E-05,1.06E-04,3.53E-05
E01000089,1.11E-05,5.52E-05,1.01E-04,2.29E-05
E01000090,1.66E-05,4.88E-05,1.01E-04,1.93E-05
E01000091,2.20E-05,7.61E-05,1.15E-04,1.23E-05
E01000093,1.58E-05,7.32E-05,1.01E-04,1.32E-05
E01000094,3.54E-05,1.32E-04,1.19E-04,4.22E-06
E01000095,1.33E-05,9.41E-05,1.05E-04,1.70E-05
E01000096,1.08E-05,5.09E-05,8.21E-05,1.02E-05
E01000097,1.16E-05,6.67E-05,1.08E-04,2.88E-05
E01000098,1.25E-05,6.38E-05,1.09E-04,2.24E-05
E01000099,1.68E-05,1.18E-04,1.46E-04,2.10E-05
E01000100,1.45E-05,6.24E-05,1.11E-04,2.21E-05
E01000101,1.29E-05,5.77E-05,9.86E-05,2.42E-05
E01000102,1.47E-05,6.10E-05,9.76E-05,2.28E-05
E01000103,9.73E-06,5.94E-05,9.74E-05,2.17E-05
E01000104,8.84E-06,6.74E-05,1.02E-04,2.36E-05
E01000105,1.55E-05,8.75E-05,1.28E-04,3.35E-05
E01000106,1.27E-05,8.02E-05,1.12E-04,3.12E-05
E01000107,1.33E-05,5.31E-05,8.92E-05,5.26E-05
E01000108,8.73E-06,7.27E-05,9.30E-05,3.24E-05
E01000110,3.98E-06,5.61E-05,8.75E-05,2.85E-05
E01000111,7.32E-06,8.14E-05,1.06E-04,3.54E-05
E01000112,8.03E-06,9.30E-05,9.59E-05,2.39E-05
E01000113,8.01E-06,7.91E-05,1.03E-04,2.51E-05
E01000114,1.10E-05,8.42E-05,1.22E-04,2.75E-05
E01000115,3.19E-05,2.14E-05,9.45E-05,7.38E-05
E01000116,3.90E-05,2.80E-05,1.12E-04,7.47E-05
E01000117,3.89E-05,3.19E-05,1.10E-04,8.33E-05
E01000118,4.50E-05,3.91E-05,1.38E-04,7.68E-05
E01000119,3.78E-05,3.35E-05,1.21E-04,7.67E-05
E01000120,3.29E-05,2.44E-05,9.93E-05,6.92E-05
E01000121,2.81E-05,3.25E-05,9.89E-05,3.95E-05
E01000122,2.88E-05,2.48E-05,1.05E-04,5.74E-05
E01000123,2.92E-05,6.02E-05,1.08E-04,4.59E-05
E01000124,2.23E-05,5.87E-05,1.17E-04,3.76E-05
E01000126,1.74E-05,9.37E-05,1.34E-04,1.67E-05
E01000127,8.37E-06,5.04E-05,9.51E-05,2.49E-05
E01000128,8.62E-06,7.45E-05,1.16E-04,3.02E-05
E01000129,3.87E-06,5.67E-05,8.92E-05,2.80E-05
E01000130,1.02E-05,7.25E-05,1.15E-04,2.65E-05
E01000131,1.40E-05,9.69E-05,9.72E-05,3.26E-05
E01000132,9.30E-06,5.52E-05,9.26E-05,1.81E-05
E01000133,1.02E-05,5.61E-05,1.00E-04,2.49E-05
E01000134,8.69E-06,6.37E-05,9.60E-05,3.02E-05
E01000135,9.31E-06,5.23E-05,8.90E-05,6.44E-05
E01000136,1.18E-05,3.45E-05,8.24E-05,6.50E-05
E01000137,5.54E-06,5.59E-05,8.64E-05,3.29E-05
E01000138,4.62E-06,6.19E-05,9.19E-05,3.81E-05
E01000139,2.66E-06,5.47E-05,7.46E-05,3.70E-05
E01000140,7.94E-06,1.02E-04,9.43E-05,3.74E-05
E01000141,3.27E-06,8.71E-05,1.05E-04,2.67E-05
E01000142,2.74E-06,9.27E-05,1.21E-04,4.71E-05
E01000143,4.87E-06,7.66E-05,7.89E-05,2.30E-05
E01000144,1.50E-05,8.18E-05,7.33E-05,3.99E-05
E01000145,8.80E-06,4.83E-05,6.65E-05,4.98E-05
E01000146,1.42E-05,8.76E-05,9.02E-05,4.49E-05
E01000147,2.05E-05,8.95E-05,9.72E-05,3.66E-05
E01000150,1.27E-05,9.60E-05,1.11E-04,4.49E-05
E01000151,1.32E-05,6.89E-05,8.32E-05,1.16E-05
E01000152,1.73E-05,1.33E-04,1.33E-04,1.80E-05
E01000153,1.32E-05,7.23E-05,1.08E-04,2.59E-05
E01000154,2.35E-05,1.03E-04,9.55E-05,1.80E-05
E01000156,2.85E-05,5.52E-05,1.37E-04,3.72E-05
E01000157,2.19E-05,4.52E-05,1.07E-04,3.17E-05
E01000158,2.00E-05,4.07E-05,9.55E-05,3.83E-05
E01000159,2.71E-05,4.12E-05,1.16E-04,6.18E-05
E01000160,2.05E-05,6.83E-05,1.26E-04,3.43E-05
E01000161,2.73E-05,5.78E-05,1.27E-04,5.85E-05
E01000162,2.47E-05,4.03E-05,9.38E-05,7.33E-05
E01000163,1.98E-05,5.99E-05,1.10E-04,2.45E-05
E01000164,2.20E-05,5.04E-05,1.08E-04,3.23E-05
E01000165,2.28E-05,4.33E-05,1.21E-04,5.24E-05
E01000166,2.79E-05,3.52E-05,9.50E-05,7.09E-05
E01000167,2.02E-05,3.54E-05,9.31E-05,3.50E-05
E01000168,3.01E-05,2.62E-05,9.69E-05,8.57E-05
E01000169,2.49E-05,4.65E-05,9.89E-05,5.22E-05
E01000170,2.96E-05,4.60E-05,1.18E-04,4.77E-05
E01000171,2.81E-05,8.82E-05,1.25E-04,3.18E-05
E01000172,3.68E-05,3.96E-05,9.64E-05,6.99E-05
E01000173,3.39E-05,2.88E-05,1.11E-04,5.80E-05
E01000174,3.14E-05,4.01E-05,1.09E-04,5.37E-05
E01000175,4.03E-05,4.22E-05,1.19E-04,6.64E-05
E01000176,1.70E-05,4.40E-05,9.08E-05,7.05E-05
E01000177,1.99E-05,5.30E-05,9.38E-05,4.70E-05
