LSOA21CD,local_d_index_ethic,local_q_G1_ethic,local_q_G2_ethic,local_q_G3_ethic,local_q_G4_ethic
E01000001,3.04E-05,9.29E-05,1.61E-06,4.67E-06,8.67E-05
E01000002,3.12E-05,8.03E-05,1.21E-06,3.85E-06,9.21E-05
E01000003,3.21E-05,8.92E-05,7.23E-06,4.51E-06,9.95E-05
E01000005,5.29E-05,1.82E-05,8.22E-06,3.08E-06,0.000141308
E01000006,6.29E-05,1.14E-05,3.10E-05,1.36E-04,9.71E-05
E01000007,1.19E-04,1.11E-05,1.36E-04,1.36E-04,1.38E-04
E01000008,7.77E-05,8.42E-06,1.03E-04,6.68E-05,6.20E-05
E01000009,6.83E-05,9.58E-06,3.11E-05,1.49E-04,8.96E-05
E01000011,7.03E-05,5.91E-06,2.36E-05,1.75E-04,8.56E-05
E01000012,1.02E-04,7.83E-06,9.78E-05,1.32E-04,1.09E-04
E01000013,3.31E-05,9.37E-05,6.24E-05,1.01E-05,5.71E-05
E01000014,2.92E-05,9.56E-05,5.27E-05,8.31E-06,5.33E-05
E01000015,4.38E-05,1.16E-04,9.76E-05,1.29E-05,6.92E-05
E01000016,3.25E-05,9.40E-05,6.84E-05,9.99E-06,5.16E-05
E01000017,2.85E-05,8.51E-05,6.46E-05,1.51E-05,4.23E-05
E01000018,3.16E-05,9.89E-05,6.47E-05,8.05E-06,4.64E-05
E01000019,3.29E-05,3.93E-05,3.40E-05,7.36E-05,5.59E-05
E01000020,3.07E-05,6.58E-05,6.40E-05,5.01E-05,7.34E-05
E01000021,3.56E-05,3.93E-05,3.75E-05,7.24E-05,5.59E-05
E01000022,2.24E-05,4.35E-05,4.47E-05,3.35E-05,4.89E-05
E01000024,1.88E-05,4.34E-05,4.95E-05,3.44E-05,4.70E-05
E01000025,2.45E-05,6.84E-05,5.39E-05,4.15E-05,5.63E-05
E01000027,3.97E-05,1.37E-04,5.52E-05,2.60E-05,3.43E-05
E01000028,3.41E-05,4.81E-05,6.90E-05,3.69E-05,5.77E-05
E01000029,3.40E-05,4.85E-05,3.47E-05,8.27E-05,5.59E-05
E01000030,4.07E-05,8.91E-05,1.21E-04,3.99E-05,5.26E-05
E01000031,2.19E-05,4.25E-05,4.04E-05,8.03E-05,5.14E-05
E01000032,4.16E-05,4.79E-05,3.41E-05,8.14E-05,8.57E-05
E01000033,3.15E-05,1.01E-04,6.59E-05,5.59E-06,2.56E-05
E01000034,3.62E-05,1.16E-04,4.85E-05,6.71E-06,2.83E-05
E01000035,3.41E-05,8.92E-05,7.30E-05,9.41E-06,5.53E-05
E01000036,2.59E-05,5.24E-05,5.18E-05,1.08E-05,5.55E-05
E01000037,4.11E-05,1.44E-04,2.09E-05,1.86E-05,2.93E-05
E01000038,3.16E-05,1.28E-04,2.64E-05,1.64E-05,2.91E-05
E01000039,4.42E-05,1.33E-04,4.11E-05,1.50E-05,2.83E-05
E01000040,4.66E-05,3.44E-05,6.23E-05,4.40E-05,8.40E-05
E01000041,2.14E-05,7.63E-05,6.03E-05,1.24E-05,6.65E-05
