LSOA21CD,local_d_index_nssec,local_q_G1_nssec,local_q_G2_nssec,local_q_G3_nssec,local_q_G4_nssec
E01000001,5.05E-05,2.19E-04,2.05E-05,5.71E-06,4.59E-06
E01000002,4.78E-05,2.19E-04,1.61E-05,3.27E-06,5.32E-06
E01000003,4.75E-05,1.96E-04,2.87E-05,1.90E-05,9.72E-06
E01000005,2.46E-05,5.65E-05,1.18E-05,2.89E-05,2.81E-05
E01000006,4.36E-05,3.22E-05,6.43E-05,7.88E-05,4.27E-05
E01000007,7.01E-05,5.76E-05,6.93E-05,1.10E-04,7.98E-05
E01000008,4.24E-05,1.71E-05,4.16E-05,8.22E-05,5.54E-05
E01000009,4.46E-05,2.64E-05,5.99E-05,7.93E-05,6.12E-05
E01000011,4.26E-05,2.25E-05,5.56E-05,7.26E-05,5.59E-05
E01000012,5.56E-05,2.56E-05,6.07E-05,9.75E-05,7.05E-05
E01000013,5.65E-05,2.30E-05,5.60E-05,1.29E-04,3.35E-05
E01000014,5.28E-05,2.19E-05,5.96E-05,1.06E-04,3.34E-05
E01000015,6.61E-05,2.86E-05,7.23E-05,1.45E-04,3.92E-05
E01000016,5.31E-05,2.45E-05,6.38E-05,1.06E-04,3.25E-05
E01000017,5.04E-05,2.44E-05,5.63E-05,9.39E-05,3.47E-05
E01000018,5.25E-05,2.40E-05,5.88E-05,1.11E-04,2.90E-05
E01000019,3.85E-05,2.22E-05,5.35E-05,7.40E-05,3.69E-05
E01000020,5.68E-05,2.71E-05,7.04E-05,1.10E-04,5.37E-05
E01000021,3.93E-05,2.19E-05,4.60E-05,8.77E-05,4.45E-05
E01000022,3.77E-05,2.17E-05,4.63E-05,7.59E-05,2.82E-05
E01000024,3.98E-05,2.18E-05,4.53E-05,7.90E-05,3.43E-05
E01000025,5.00E-05,2.81E-05,6.22E-05,1.03E-04,3.95E-05
E01000027,4.63E-05,2.81E-05,6.77E-05,9.76E-05,3.98E-05
E01000028,3.17E-05,2.81E-05,5.20E-05,8.00E-05,4.04E-05
E01000029,3.44E-05,4.54E-05,6.57E-05,7.27E-05,3.08E-05
E01000030,4.39E-05,3.99E-05,6.68E-05,1.08E-04,4.54E-05
E01000031,3.55E-05,4.53E-05,6.79E-05,6.52E-05,2.73E-05
E01000032,3.77E-05,4.41E-05,7.28E-05,8.63E-05,3.80E-05
E01000033,3.97E-05,1.89E-05,4.18E-05,9.81E-05,2.87E-05
E01000034,3.59E-05,2.63E-05,5.41E-05,8.95E-05,2.93E-05
E01000035,5.15E-05,2.89E-05,5.94E-05,1.03E-04,3.57E-05
E01000036,4.02E-05,2.45E-05,5.40E-05,8.22E-05,2.14E-05
E01000037,2.76E-05,5.17E-05,6.55E-05,7.47E-05,1.87E-05
E01000038,2.80E-05,4.32E-05,6.03E-05,7.64E-05,1.78E-05
E01000039,3.42E-05,4.74E-05,6.19E-05,7.50E-05,2.18E-05
E01000040,4.42E-05,2.57E-05,5.19E-05,8.78E-05,5.37E-05
E01000041,5.09E-05,2.24E-05,6.46E-05,1.03E-04,3.17E-05
E01000042,4.53E-05,2.46E-05,5.95E-05,7.87E-05,4.71E-05
E01000043,4.08E-05,2.33E-05,5.36E-05,6.85E-05,4.20E-05
E01000044,4.66E-05,2.83E-05,6.69E-05,9.91E-05,3.81E-05
E01000045,4.66E-05,2.23E-05,5.65E-05,9.25E-05,3.44E-05
E01000046,5.60E-05,2.46E-05,6.05E-05,1.19E-04,3.54E-05
E01000049,3.99E-05,1.87E-05,5.04E-05,8.55E-05,4.64E-05
E01000050,4.17E-05,3.31E-05,4.88E-05,8.24E-05,3.95E-05
E01000051,2.37E-05,2.77E-05,2.67E-05,3.79E-05,1.44E-05
E01000052,5.77E-05,3.26E-05,8.15E-05,1.02E-04,5.45E-05
E01000053,4.91E-05,1.80E-05,5.71E-05,1.00E-04,3.25E-05
E01000054,5.38E-05,2.37E-05,5.66E-05,1.18E-04,2.77E-05
E01000055,5.05E-05,2.19E-05,5.51E-05,1.03E-04,3.31E-05
E01000056,5.05E-05,2.08E-05,4.34E-05,1.04E-04,4.67E-05
E01000057,4.46E-05,1.72E-05,4.85E-05,9.57E-05,2.94E-05
E01000058,5.99E-05,2.71E-05,6.54E-05,1.09E-04,4.33E-05
E01000059,5.18E-05,2.08E-05,5.59E-05,1.11E-04,2.94E-05
E01000060,5.42E-05,2.70E-05,6.43E-05,1.24E-04,3.52E-05
E01000061,4.47E-05,2.71E-05,4.27E-05,1.10E-04,4.11E-05
E01000062,6.20E-05,3.39E-05,7.60E-05,1.22E-04,3.16E-05
E01000063,4.99E-05,2.31E-05,5.93E-05,1.10E-04,2.87E-05
