LSOA21CD,local_d_index_qualification,local_q_G1_qualification,local_q_G2_qualification,local_q_G3_qualification
E01000001,4.96E-05,5.00E-06,1.72E-05,2.18E-04
E01000002,4.79E-05,4.47E-06,1.60E-05,2.11E-04
E01000003,4.64E-05,1.87E-05,2.58E-05,1.97E-04
E01000005,2.33E-05,2.84E-05,3.37E-05,6.90E-05
E01000006,3.07E-05,8.68E-05,6.40E-05,5.77E-05
E01000007,4.18E-05,9.90E-05,7.86E-05,1.24E-04
E01000008,2.71E-05,7.66E-05,6.15E-05,4.63E-05
E01000009,2.78E-05,9.92E-05,5.14E-05,5.58E-05
E01000011,2.82E-05,9.44E-05,5.57E-05,4.93E-05
E01000012,3.43E-05,9.18E-05,6.38E-05,7.10E-05
E01000013,5.24E-05,1.11E-04,7.71E-05,3.65E-05
E01000014,5.01E-05,1.06E-04,6.89E-05,3.57E-05
E01000015,6.17E-05,1.24E-04,8.99E-05,5.37E-05
E01000016,5.00E-05,9.63E-05,7.70E-05,4.19E-05
E01000017,4.88E-05,1.06E-04,6.68E-05,3.68E-05
E01000018,4.84E-05,1.07E-04,6.26E-05,4.04E-05
E01000019,3.50E-05,8.33E-05,5.67E-05,3.81E-05
E01000020,5.38E-05,1.22E-04,8.28E-05,4.60E-05
E01000021,3.56E-05,8.58E-05,6.38E-05,3.89E-05
E01000022,3.57E-05,7.46E-05,5.81E-05,3.51E-05
E01000024,3.72E-05,8.30E-05,5.69E-05,3.34E-05
E01000025,4.73E-05,1.10E-04,7.13E-05,4.55E-05
E01000027,5.96E-05,1.12E-04,9.35E-05,3.40E-05
E01000028,3.54E-05,8.64E-05,7.03E-05,4.86E-05
E01000029,3.73E-05,9.33E-05,7.28E-05,5.04E-05
E01000030,4.98E-05,1.08E-04,9.06E-05,6.10E-05
E01000031,4.27E-05,7.82E-05,7.80E-05,5.17E-05
E01000032,3.86E-05,9.92E-05,8.28E-05,5.55E-05
E01000033,3.89E-05,9.22E-05,5.68E-05,2.88E-05
E01000034,4.48E-05,9.55E-05,6.77E-05,3.53E-05
E01000035,5.04E-05,1.19E-04,6.62E-05,4.35E-05
E01000036,4.04E-05,8.33E-05,5.86E-05,3.82E-05
E01000037,4.60E-05,8.91E-05,8.94E-05,4.27E-05
E01000038,4.11E-05,8.56E-05,7.80E-05,3.79E-05
E01000039,4.90E-05,8.62E-05,7.35E-05,4.55E-05
E01000040,3.78E-05,1.14E-04,5.99E-05,4.39E-05
E01000041,4.72E-05,1.05E-04,6.87E-05,4.27E-05
E01000042,4.10E-05,9.04E-05,6.57E-05,4.51E-05
E01000043,3.45E-05,8.52E-05,5.61E-05,4.30E-05
E01000044,3.41E-05,9.85E-05,6.61E-05,5.93E-05
E01000045,4.06E-05,9.21E-05,6.63E-05,4.04E-05
E01000046,5.02E-05,1.07E-04,7.08E-05,4.64E-05
E01000049,2.89E-05,8.91E-05,6.01E-05,5.20E-05
E01000050,2.67E-05,7.89E-05,5.51E-05,6.07E-05
E01000051,1.42E-05,2.55E-05,2.97E-05,5.15E-05
E01000052,4.28E-05,1.20E-04,7.33E-05,6.35E-05
E01000053,4.49E-05,9.98E-05,6.14E-05,3.21E-05
E01000054,5.08E-05,1.06E-04,6.78E-05,4.10E-05
E01000055,4.61E-05,9.77E-05,7.16E-05,3.49E-05
E01000056,4.75E-05,1.02E-04,6.74E-05,3.40E-05
E01000057,4.18E-05,9.08E-05,5.56E-05,3.43E-05
E01000058,5.96E-05,1.22E-04,7.74E-05,4.73E-05
E01000059,4.97E-05,1.03E-04,7.42E-05,3.32E-05
E01000060,5.45E-05,1.08E-04,8.46E-05,4.92E-05
E01000061,4.67E-05,9.66E-05,7.58E-05,4.20E-05
E01000062,5.97E-05,1.16E-04,8.71E-05,5.43E-05
E01000063,4.71E-05,9.22E-05,7.62E-05,3.83E-05
E01000064,6.14E-05,1.29E-04,8.35E-05,5.68E-05
E01000065,5.66E-05,1.18E-04,8.41E-05,4.11E-05
E01000066,5.30E-05,1.11E-04,1.13E-04,6.12E-05
E01000067,4.44E-05,9.39E-05,9.25E-05,6.30E-05
E01000068,3.37E-05,9.35E-05,6.09E-05,6.36E-05
E01000069,4.51E-05,9.54E-05,9.65E-05,5.60E-05
E01000070,3.92E-05,8.91E-05,7.62E-05,6.69E-05
E01000071,5.55E-05,1.14E-04,9.73E-05,8.09E-05
E01000072,5.01E-05,1.13E-04,8.10E-05,4.88E-05
E01000073,4.27E-05,9.59E-05,7.32E-05,4.17E-05
E01000074,4.48E-05,9.53E-05,6.90E-05,3.73E-05
E01000075,5.73E-05,1.17E-04,7.93E-05,4.63E-05
E01000076,5.78E-05,1.42E-04,7.65E-05,4.45E-05
E01000077,4.77E-05,9.61E-05,7.91E-05,3.38E-05
E01000078,5.03E-05,1.13E-04,6.64E-05,3.58E-05
E01000079,4.87E-05,9.44E-05,7.03E-05,3.65E-05
