LSOA_code,all,G1,G2,G3,G4
E01000001,1473,822,20,88,543
E01000002,1384,735,15,72,562
E01000003,1608,813,77,89,629
E01000005,1104,259,149,55,641
E01032739,1622,564,45,196,817
E01032740,1393,459,30,113,791
E01000006,1850,239,231,659,721
E01000007,2907,323,948,561,1075
E01000008,1794,284,776,252,482
E01000009,1796,240,228,645,683
E01000011,1702,176,182,675,669
E01000012,2352,267,732,496,857
E01000013,1865,755,369,162,579
E01000014,1754,770,321,126,537
E01000015,2420,955,551,210,704
E01000016,1848,760,404,144,540
E01000017,1726,687,394,204,441
E01000018,1781,802,379,124,476
E01000019,1659,490,272,379,518
E01000020,2189,694,462,327,706
E01000021,1687,516,295,366,510
E01000022,1473,479,321,212,461
E01000024,1483,455,338,248,442
E01000025,1922,742,370,297,513
E01000027,2083,967,415,257,444
E01000028,1816,547,485,215,569
E01000029,1824,572,257,464,531
E01000030,2556,929,838,255,534
E01000031,1772,406,307,526,533
E01000032,2083,623,268,423,769
E01000033,1540,787,385,80,288
E01000034,1574,799,337,92,346
E01000035,1864,722,422,145,575
E01000036,1463,427,301,171,564
E01000037,1692,897,204,217,374
E01000038,1621,864,218,186,353
E01000039,1748,839,333,215,361
E01000040,1873,526,450,280,617
E01000041,1835,733,363,144,595
E01000042,1880,554,468,225,633
E01000043,1538,453,233,248,604
E01000044,1980,380,364,483,753
E01000045,1728,609,407,135,577
E01000046,1962,784,426,198,554
E01000049,1975,341,668,463,503
E01000050,1839,326,353,447,713
E01000051,1108,115,401,189,403
E01000052,2356,528,400,490,938
E01000053,1615,613,433,140,429
E01000054,1870,848,427,142,453
E01000055,1705,725,403,143,434
E01000056,1701,776,406,122,397
E01000057,1551,562,443,130,416
E01000058,2132,639,560,148,785
E01000059,1711,809,384,112,406
E01000060,2183,834,603,180,566
E01000061,1927,778,640,156,353
E01000062,2217,851,622,207,537
E01000063,1773,789,327,236,421
E01000064,2288,811,656,238,583
E01000065,1985,866,465,189,465
E01000066,2499,446,230,506,1317
E01000067,2234,423,318,456,1037
E01000068,1794,262,214,565,753
E01000069,2103,405,120,375,1203
E01000070,2068,330,181,700,857
E01000071,2606,441,300,543,1322
E01000072,2155,792,540,237,586
E01000073,1848,764,340,191,553
E01000074,1766,694,396,182,494
E01000075,2080,841,489,180,570
E01000076,2166,864,530,180,592
E01000077,1714,622,458,177,457
E01000078,1897,743,438,224,492
E01000079,1727,724,368,161,474
E01000080,1778,730,412,185,451
E01000081,1978,710,402,215,651
E01000082,1916,833,457,139,487
E01000083,1916,773,385,296,462
E01000084,1434,632,293,98,411
E01000085,1644,708,351,104,481
E01000086,1454,625,328,123,378
E01000087,1641,616,485,93,447
E01000088,1975,509,613,226,627
E01000089,1828,500,640,142,546
E01000090,1703,368,545,269,521
E01000091,2093,494,767,205,627
E01000093,1809,488,636,170,515
E01000094,2457,367,1131,263,696
E01000095,2253,737,697,237,582
E01000096,1650,404,700,163,383
E01000097,1933,737,295,321,580
E01000098,1939,637,381,401,520
E01000099,2782,948,526,561,747
E01000100,1938,769,385,357,427
E01000101,1705,694,354,248,409
E01000102,1785,721,364,225,475
E01000103,1777,606,654,111,406
E01000104,1911,695,691,117,408
E01000105,2337,910,733,180,514
E01000106,2215,777,723,130,585
E01000107,1784,715,381,162,526
E01000108,1910,689,412,174,635
E01000110,1570,367,222,511,470
E01000111,2155,674,411,351,719
E01000112,1974,430,394,524,626
E01000113,1996,458,444,459,635
E01000114,2413,537,582,572,722
E01032580,1547,407,272,415,453
E01033587,2450,353,912,328,857
E01034469,1746,387,314,607,438
E01034470,1498,407,294,371,426
E01034471,2687,511,886,401,889
E01034472,1886,279,597,337,673
E01034473,1269,100,132,453,584
E01034474,2254,290,538,833,593
E01034475,1829,435,458,292,644
E01034476,1830,293,745,239,553
E01034477,1579,163,795,210,411
E01034478,1200,140,374,215,471
E01034479,2206,320,880,298,708
E01000115,1397,569,43,265,520
E01000116,1747,707,116,217,707
E01000117,1734,927,72,168,567
E01000118,2059,885,161,327,686
E01000119,1800,594,57,335,814
E01000120,1497,465,69,256,707
E01000121,1469,617,226,231,395
E01000122,1511,524,82,225,680
E01000123,1760,680,133,243,704
E01000124,1874,610,198,235,831
E01000126,2280,449,583,371,877
E01000127,1557,379,329,352,497
E01000128,2048,457,416,404,771
