LSOA_code,all,G1,G2,G3,G4
E01000001,1272,987,190,58,37
E01000002,1214,989,150,33,42
E01000003,1433,929,259,173,72
E01000005,800,284,117,247,152
E01000006,1269,328,362,396,183
E01000007,1878,618,408,542,310
E01000008,1041,195,247,396,203
E01000009,1265,273,344,398,250
E01000011,1142,241,321,365,215
E01000012,1382,290,357,477,258
E01000013,1289,279,316,520,174
E01000014,1203,266,334,431,172
E01000015,1546,340,407,592,207
E01000016,1253,289,355,437,172
E01000017,1172,291,313,387,181
E01000018,1224,286,329,456,153
E01000019,1053,235,301,350,167
E01000020,1441,302,398,490,251
E01000021,1109,227,257,420,205
E01000022,974,239,261,342,132
E01000024,1012,243,255,350,164
E01000025,1307,306,349,462,190
E01000027,1321,290,362,453,216
E01000028,1163,255,292,410,206
E01000029,1310,407,362,377,164
E01000030,1519,372,369,540,238
E01000031,1263,417,361,330,155
E01000032,1447,394,396,452,205
E01000033,1014,209,236,414,155
E01000034,1138,256,302,407,173
E01000035,1282,327,331,431,193
E01000036,1038,270,297,352,119
E01000037,1297,416,354,393,134
E01000038,1200,370,335,380,115
E01000039,1265,425,333,363,144
E01000040,1225,270,285,431,239
E01000041,1218,261,360,444,153
E01000042,1180,269,327,369,215
E01000043,1061,255,296,324,186
E01000044,1322,293,376,485,168
E01000045,1141,255,315,412,159
E01000046,1304,293,340,497,174
E01000049,1095,197,291,403,204
E01000050,1193,341,281,398,173
E01000051,685,283,157,183,62
E01000052,1533,352,457,483,241
E01000053,1115,219,325,407,164
E01000054,1231,287,321,483,140
E01000055,1164,263,312,423,166
E01000056,1159,251,248,425,235
E01000057,1022,208,273,393,148
E01000058,1364,329,369,445,221
E01000059,1169,255,318,447,149
E01000060,1374,301,365,520,188
E01000061,1228,286,243,476,223
E01000062,1493,393,424,509,167
E01000063,1211,266,332,464,149
E01000064,1542,376,410,554,202
E01000065,1380,258,403,507,212
E01000066,1576,431,427,421,297
E01000067,1468,451,387,373,257
E01000068,1284,373,379,301,231
E01000069,1492,534,397,355,206
E01000070,1453,468,429,322,234
E01000071,1746,529,532,416,269
E01000072,1395,291,380,499,225
E01000073,1223,306,325,429,163
E01000074,1140,267,305,412,156
E01000075,1400,332,393,512,163
E01000076,1475,279,358,563,275
E01000077,1171,242,290,468,171
E01000078,1216,260,312,460,184
E01000079,1158,261,321,421,155
E01000080,1214,272,351,443,148
E01000081,1333,287,352,495,199
E01000082,1294,302,349,463,180
E01000083,1248,264,308,475,201
E01000084,985,213,249,382,141
E01000085,1102,209,288,445,160
E01000086,960,218,240,377,125
E01000087,1069,215,312,399,143
E01000088,1303,301,338,448,216
E01000089,1129,251,299,434,145
E01000090,1059,263,278,380,138
E01000091,1290,253,286,484,267
E01000093,1173,230,314,407,222
E01000094,1470,461,385,447,177
E01000095,1367,445,325,419,178
E01000096,908,212,203,349,144
E01000097,1299,274,336,449,240
E01000098,1234,278,318,435,203
E01000099,1804,527,469,586,222
E01000100,1278,315,298,461,204
E01000101,1174,237,308,451,178
E01000102,1160,261,282,438,179
E01000103,1172,300,296,414,162
E01000104,1242,300,293,461,188
E01000105,1595,354,376,627,238
E01000106,1420,287,370,550,213
E01000107,1236,294,372,420,150
