LSOA_code,all,G1,G2,G3
E01000001,1337,58,153,1126
E01000002,1282,51,145,1086
E01000003,1471,193,223,1055
E01000005,929,258,284,387
E01000006,1363,450,414,499
E01000007,2088,520,521,1047
E01000008,1197,389,407,401
E01000009,1331,520,337,474
E01000011,1277,490,363,424
E01000012,1503,470,417,616
E01000013,1351,510,454,387
E01000014,1270,484,404,382
E01000015,1670,580,534,556
E01000016,1339,449,454,436
E01000017,1270,491,390,389
E01000018,1289,497,370,422
E01000019,1119,412,341,366
E01000020,1539,586,490,463
E01000021,1182,433,381,368
E01000022,1055,362,344,349
E01000024,1071,401,335,335
E01000025,1409,540,419,450
E01000027,1420,538,504,378
E01000028,1318,464,412,442
E01000029,1387,504,424,459
E01000030,1663,564,523,576
E01000031,1348,409,440,499
E01000032,1525,542,487,496
E01000033,1065,433,336,296
E01000034,1213,462,386,365
E01000035,1397,556,396,445
E01000036,1131,394,348,389
E01000037,1381,478,482,421
E01000038,1252,446,435,371
E01000039,1307,428,405,474
E01000040,1348,570,373,405
E01000041,1338,496,410,432
E01000042,1275,442,395,438
E01000043,1171,419,348,404
E01000044,1451,505,427,519
E01000045,1241,446,400,395
E01000046,1400,504,423,473
E01000049,1301,464,389,448
E01000050,1290,414,362,514
E01000051,760,136,197,427
E01000052,1641,602,467,572
E01000053,1160,457,363,340
E01000054,1320,484,402,434
E01000055,1242,453,427,362
E01000056,1225,465,399,361
E01000057,1108,418,331,359
E01000058,1519,557,457,505
E01000059,1262,469,438,355
E01000060,1512,514,495,503
E01000061,1334,471,439,424
E01000062,1621,549,511,561
E01000063,1277,438,443,396
E01000064,1682,604,494,584
E01000065,1476,554,488,434
E01000066,1814,578,663,573
E01000067,1620,498,545,577
E01000068,1430,485,388,557
E01000069,1588,493,576,519
E01000070,1533,464,470,599
E01000071,1921,576,591,754
E01000072,1513,556,477,480
E01000073,1314,478,429,407
E01000074,1240,452,406,382
E01000075,1496,540,468,488
E01000076,1579,667,454,458
E01000077,1265,450,462,353
E01000078,1290,524,385,381
E01000079,1235,434,410,391
E01000080,1289,455,424,410
E01000081,1443,519,481,443
E01000082,1390,473,489,428
E01000083,1331,542,423,366
E01000084,1038,429,304,305
E01000085,1198,468,375,355
E01000086,1050,402,335,313
E01000087,1171,436,373,362
E01000088,1381,461,426,494
E01000089,1237,446,380,411
E01000090,1177,426,358,393
E01000091,1415,485,439,491
E01000093,1289,496,384,409
E01000094,1644,373,471,800
E01000095,1457,448,442,567
E01000096,1075,341,361,373
E01000097,1397,548,451,398
E01000098,1354,484,463,407
E01000099,1970,615,602,753
E01000100,1341,499,446,396
E01000101,1250,471,415,364
E01000102,1232,481,400,351
E01000103,1288,408,419,461
E01000104,1334,429,439,466
E01000105,1681,617,535,529
E01000106,1513,527,480,506
E01000107,1301,488,409,404
E01000108,1390,504,436,450
E01000110,1183,357,388,438
E01000111,1564,593,483,488
E01000112,1446,455,429,562
E01000113,1462,442,488,532
E01000114,1639,533,507,599
E01000115,1142,234,341,567
E01000116,1320,318,419,583
E01000117,1350,342,426,582
E01000118,1601,371,504,726
E01000119,1421,335,383,703
E01000120,1187,274,339,574
E01000121,1180,357,416,407
E01000122,1173,233,349,591
E01000123,1398,309,402,687
E01000124,1409,355,403,651
E01000126,1726,523,487,716
E01000127,1140,426,323,391
E01000128,1543,541,401,601
E01000129,1200,463,364,373
E01000130,1454,520,428,506
E01000131,1549,496,391,662
E01000132,1155,404,377,374
E01000133,1222,436,350,436
E01000134,1373,447,402,524
E01000135,1345,270,283,792
E01000136,1149,180,242,727
E01000137,1199,340,303,556
E01000138,1276,353,332,591
E01000139,1114,197,242,675
E01000140,1585,272,375,938
E01000141,1506,437,374,695
E01000142,1729,431,463,835
E01000143,1250,343,380,527
E01000144,1306,270,297,739
E01000145,1149,272,360,517
E01000146,1529,280,317,932
E01000147,1554,525,422,607
E01000150,1733,459,505,769
E01000151,1157,417,372,368
E01000152,1916,437,477,1002
E01000153,1430,424,438,568
E01000154,1478,396,378,704
E01000156,1486,247,371,868
E01000157,1177,224,315,638
E01000158,1132,246,299,587
E01000159,1430,341,389,700
E01000160,1550,307,364,879
E01000161,1560,404,394,762
E01000162,1309,378,350,581
E01000163,1292,361,405,526
E01000164,1295,373,386,536
E01000165,1402,331,370,701
E01000166,1257,327,401,529
E01000167,1073,346,334,393
E01000168,1248,275,359,614
E01000169,1291,261,395,635
E01000170,1464,398,504,562
E01000171,1672,422,501,749
E01000172,1288,250,380,658
E01000173,1274,263,392,619
E01000174,1329,366,414,549
E01000175,1464,319,411,734
E01000176,1433,419,412,602
E01000177,1256,164,247,845
E01000178,1281,196,281,804
E01000179,1369,166,293,910
E01000180,1257,260,300,697
E01000181,1386,158,261,967
E01000182,1341,155,258,928
E01000183,1165,193,258,714
E01000184,1464,406,412,646
E01000185,1195,310,350,535
E01000186,1256,267,363,626
E01000187,1215,303,398,514
E01000188,1171,217,342,612
E01000189,1848,408,424,1016
E01000190,1307,289,339,679
E01000191,1146,288,268,590
E01000192,1481,401,377,703
E01000193,1527,419,397,711
E01000194,1395,418,380,597
E01000195,1463,492,461,510
E01000196,1749,371,368,1010
E01000197,1444,287,331,826
E01000198,1569,291,413,865
E01000199,1255,219,301,735
E01000200,1568,316,325,927
E01000201,1190,214,288,688
E01000202,1325,194,317,814
E01000203,1429,372,338,719
E01000204,1357,216,310,831
E01000205,1146,161,214,771
E01000206,1212,200,278,734
E01000207,1227,165,245,817
E01000208,1280,143,239,898
E01000209,1211,155,254,802
E01000210,1149,111,236,802
E01000211,1659,387,397,875
E01000212,1088,167,212,709
E01000213,1016,108,241,667
E01000214,1360,162,215,983
E01000215,1382,374,466,542
E01000216,1426,270,380,776
E01000217,1198,289,393,516
E01000218,1256,321,429,506
E01000219,1402,417,434,551
E01000220,1307,383,389,535
E01000221,1016,362,303,351
E01000222,1563,409,456,698
E01000223,1472,493,377,602
E01000224,1271,379,321,571
E01000225,1199,275,398,526
E01000226,1317,431,433,453
E01000227,1456,380,383,693
E01000228,1101,235,332,534
E01000229,1244,365,372,507
E01000230,1382,342,399,641
E01000231,1347,299,382,666
E01000232,1433,293,396,744
E01000233,1477,313,382,782
E01000234,1331,250,305,776
E01000235,1440,385,397,658
E01000236,1352,283,442,627
E01000237,1587,322,455,810
E01000238,1466,345,448,673
E01000239,1626,411,380,835
E01000240,1378,310,407,661
E01000241,1397,270,376,751
E01000242,1177,236,326,615
E01000243,1670,401,456,813
E01000244,1324,302,397,625
E01000245,1622,549,438,635
E01000246,1216,202,307,707
E01000247,1339,231,390,718
E01000248,1345,199,313,833
E01000249,1286,171,353,762
E01000250,2123,451,545,1127
E01000251,1791,434,521,836
E01000252,1389,288,383,718
E01000253,1554,281,457,816
E01000254,1276,199,303,774
E01000255,1330,323,365,642
E01000256,1414,312,354,748
E01000257,1617,384,404,829
E01000258,1528,332,380,816
E01000259,2049,393,562,1094
E01000260,1641,385,436,820
E01000261,1414,263,408,743
E01000263,1157,145,311,701
E01000264,1400,341,336,723
E01000265,1442,356,441,645
E01000266,1149,176,342,631
E01000267,1225,224,378,623
E01000268,1607,331,466,810
E01000269,1113,252,311,550
E01000270,1213,245,323,645
E01000271,1334,263,351,720
E01000272,1164,203,274,687
E01000273,1364,303,315,746
E01000274,1486,370,452,664
E01000275,1387,258,304,825
E01000276,1129,165,258,706
E01000277,1346,256,260,830
E01000278,1083,164,220,699
E01000279,1123,192,319,612
E01000280,1102,140,280,682
E01000281,1355,194,284,877
E01000282,1424,260,350,814
E01000283,1079,140,250,689
E01000284,1456,374,377,705
E01000285,1177,291,364,522
E01000286,1329,424,355,550
E01000287,1268,420,404,444
E01000288,1220,270,377,573
E01000289,1222,466,350,406
E01000290,1312,412,380,520
E01000291,1197,351,380,466
E01000292,1250,269,346,635
E01000293,1437,213,378,846
E01000294,1433,335,390,708
E01000295,1308,227,281,800
E01000296,1403,237,319,847
E01000297,1122,268,266,588
E01000298,1354,238,312,804
E01000299,1731,440,389,902
E01000300,1294,193,276,825
E01000301,1124,153,218,753
E01000302,1434,356,344,734
E01000303,1163,179,278,706
E01000304,1255,239,249,767
E01000305,1309,400,312,597
E01000306,1621,570,399,652
E01000307,1263,413,345,505
E01000308,1713,402,376,935
E01000309,1579,391,351,837
E01000310,1726,473,453,800
E01000311,1173,198,375,600
E01000312,1415,499,382,534
E01000313,1500,477,354,669
E01000314,1752,363,489,900
E01000315,1346,434,440,472
E01000316,1750,427,447,876
E01000317,1243,255,280,708
E01000318,1509,383,418,708
E01000319,1058,182,241,635
E01000320,1575,293,391,891
E01000321,1599,362,357,880
E01000322,1405,300,375,730
E01000323,1898,586,410,902
E01000324,1412,320,413,679
E01000325,1306,346,579,381
E01000326,1042,299,406,337
E01000327,1283,375,519,389
