LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,all,G1,G2,G3,G4,weighted_density_all,weighted_density_G1,weighted_density_G2,weighted_density_G3,weighted_density_G4,local_d_index,local_q_G1,local_q_G2,local_q_G3,local_q_G4,local_p_G1_G2,local_p_G1_G3,local_p_G1_G4,local_p_G2_G1,local_p_G2_G3,local_p_G2_G4,local_p_G3_G1,local_p_G3_G2,local_p_G3_G4,local_p_G4_G1,local_p_G4_G2,local_p_G4_G3
E01000001,City of London 001A,NA,532123,181632,51.5182,-0.09715,a5d3008f-fbd3-45ab-8e36-46ded7fa6eb9,1272,987,190,58,37,1257.1641409548674,754.7720204719164,201.95556938224442,186.47802574114388,113.95852535956257,5.0536161278109633e-5,2.187590070531086e-4,2.0522237655629477e-5,5.714424862480633e-6,4.585168405963553e-6,5.853370107609706e-5,5.404777421777058e-5,3.302911763648501e-5,7.669811150702599e-5,1.8949447017076442e-5,1.1580190372901074e-5,2.312920239340477e-5,6.1887180658825595e-6,3.4921403099273266e-6,3.0368564449686482e-5,8.125765871558324e-6,7.503020500984421e-6
E01000002,City of London 001B,NA,532480,181715,51.5188,-0.09197,73ad1bef-5c83-4cf4-9185-a6b2e2079949,1214,989,150,33,42,1275.26323002579,763.6655087064497,203.3331880117851,190.18858950302328,118.075943804532,4.781571753714262e-5,2.1863747994451828e-4,1.6080774183846586e-5,3.2689435048369757e-6,5.316301582055222e-6,5.8214303656694884e-5,5.4451004332483974e-5,3.380514963838304e-5,6.039512151252447e-5,1.5041222685030392e-5,9.338134160150912e-6,1.3125810602398366e-5,3.49487162192953e-6,2.0294781647307237e-6,3.438360110691131e-5,9.15496005605415e-6,8.563132054549501e-6
E01000003,City of London 001C,NA,532239,182033,51.5217,-0.09533,006f42e4-b42a-4899-bcf7-8acc586057f4,1433,929,259,173,72,1267.6443780339557,723.48874098349,209.00657970528638,209.9899389110682,125.1591184341112,4.7520800857759014e-5,1.9573795175079837e-4,2.871240358243254e-5,1.9035137178374396e-5,9.718433974380455e-6,5.6546173418455896e-5,5.681221863225338e-5,3.386146611200349e-5,9.938969743323614e-5,2.884749314000877e-5,1.7193808566069655e-5,6.558270126199952e-5,1.8945997777340513e-5,1.1345405407859476e-5,5.617790895640724e-5,1.6229074401368733e-5,1.6305430895678182e-5
E01000005,City of London 001E,NA,533581,181283,51.5147,-0.07628,0c70f0f0-2d6b-4183-9361-44e0d2c4f0a6,800,284,117,247,152,1245.1320073871457,670.5776605612186,187.07028226472426,219.2329010008563,168.25116356034655,2.462317929359063e-5,5.6464697696244935e-5,1.1819048864005581e-5,2.8886580998145378e-5,2.8079217328846214e-5,1.5751892073452924e-5,1.8460083310446103e-5,1.4167264503749646e-5,4.236691173677732e-5,1.3851074249517105e-5,1.063006213211084e-5,8.835670111062765e-5,2.4648767754821478e-5,2.216912170586647e-5,1.1191183150429881e-4,3.1219915513961856e-5,3.6587493022766175e-5
E01000006,Barking and Dagenham 016A,NA,544994,184274,51.5387,0.089317,e09f46ef-ff51-415c-be44-29cdfd4a10ae,1269,328,362,396,183,1277.8404497101342,339.80183496417374,337.57134587756514,382.58249089328706,217.88477797510834,4.36258220766934e-5,3.219941008190524e-5,6.429908257384685e-5,7.875035135515622e-5,4.265795971536017e-5,3.1988050326327415e-5,3.625327837246243e-5,2.0646625752815844e-5,6.472393617505246e-5,7.287260448396477e-5,4.150171956741564e-5,6.994442906175617e-5,6.948530768677076e-5,4.484915862306405e-5,6.652714853151953e-5,6.609045848604527e-5,7.490283917948799e-5
E01000007,Barking and Dagenham 015A,NA,544187,184455,51.5406,0.077763,50e24d51-2693-4a32-b634-e34f792c9045,1878,618,408,542,310,1246.1205303844708,314.6694972080476,314.95665992114533,381.920552863984,234.57382039129388,7.013789237510993e-5,5.761135014125391e-5,6.93359020640144e-5,1.1033698712752295e-4,7.977740672118469e-5,5.7663925404374664e-5,6.992402788453541e-5,4.2947011453097464e-5,6.927268483991516e-5,8.407761898491476e-5,5.164008102417812e-5,9.09081326011628e-5,9.099109401379424e-5,6.776846233301739e-5,1.070175538755424e-4,1.0711521650694664e-4,1.2988930832172522e-4
E01000008,Barking and Dagenham 015B,NA,543575,184273,51.5391,0.068871,5cd18580-e377-4086-9787-3b433b406069,1041,195,247,396,203,1233.6570933954836,292.75005717813445,309.2223965791458,385.4129564763296,246.27168316187382,4.2388242709801965e-5,1.7082920621223613e-5,4.162753522118603e-5,8.2174276922995e-5,5.540064072698872e-5,1.804413534871419e-5,2.249010300916863e-5,1.4370755911243067e-5,3.9410028028380144e-5,5.1884312384576655e-5,3.315310688428009e-5,6.241752868849413e-5,6.59296124333783e-5,5.250782868187978e-5,6.585629550381894e-5,6.956187036070825e-5,8.670150160640667e-5
E01000009,Barking and Dagenham 016B,NA,544587,184430,51.5403,0.083517,ca848406-aa20-4ece-acc5-7839b8234bc2,1265,273,344,398,250,1266.5469855147664,331.8464898671391,328.2708847400225,379.7886015311881,226.64100937641675,4.4584257625701024e-5,2.640605678226032e-5,5.994828519974705e-5,7.927067349340734e-5,6.115837394043333e-5,2.6121534767109934e-5,3.022095964101647e-5,1.8034529656102554e-5,6.0601256285171875e-5,6.935636530250268e-5,4.1388805707871824e-5,6.926404489796431e-5,6.851773333034416e-5,4.730522554405532e-5,8.954774678225793e-5,8.858288082075696e-5,1.0248477702542193e-4
E01000011,Barking and Dagenham 016C,NA,544409,184734,51.543,0.081077,f41ccbbe-e256-420b-8239-7e94a4656bf0,1142,241,321,365,215,1260.3954604341402,318.4687286378972,324.5610069907275,377.5879764453033,239.77774836021226,4.261135620864471e-5,2.248029414925327e-5,5.5577858199980176e-5,7.262949860216197e-5,5.591640456971903e-5,2.291034016977315e-5,2.6653445109089567e-5,1.692560000046978e-5,5.453461586613418e-5,6.465820157346895e-5,4.1059564799338735e-5,6.125784062085741e-5,6.24296976441569e-5,4.612153650469926e-5,7.426721785112754e-5,7.568794309964576e-5,8.805388404873597e-5
E01000012,Barking and Dagenham 015D,NA,543892,184714,51.543,0.073618,c280c687-6a03-4cb1-b219-ab16835e78b6,1382,290,357,477,258,1235.023771568812,295.81448703289016,312.15147608283667,380.166778358875,246.8910300942102,5.559394702522132e-5,2.5642897901278628e-5,6.0668820867729356e-5,9.752727277482752e-5,7.0509629387493e-5,2.705908189694449e-5,3.2955038749778186e-5,2.140193180174921e-5,5.749361287375454e-5,7.388807019447094e-5,4.79849971129398e-5,7.588769405928512e-5,8.007875460979287e-5,6.333696211331265e-5,8.448168343816055e-5,8.91473654711599e-5,1.0857186118626054e-4
